,home,home_pot,away,away_pot
0,Houston Astros,8.583333333333334,Detroit Tigers,9.125
1,Baltimore Orioles,8.6,Kansas City Royals,7.916666666666666
2,Milwaukee Brewers,10.040000000000001,New York Mets,10.48
